name	ui	pharmacological_action_name	pharmacological_action_ui
Emtricitabine	D000068679	Antiviral Agents	D000998
Emtricitabine	D000068679	Reverse Transcriptase Inhibitors	D018894
Emtricitabine	D000068679	Anti-HIV Agents	D019380
Rilpivirine	D000068696	Reverse Transcriptase Inhibitors	D018894
Rilpivirine	D000068696	Anti-HIV Agents	D019380
Tenofovir	D000068698	Antiviral Agents	D000998
Tenofovir	D000068698	Reverse Transcriptase Inhibitors	D018894
Tenofovir	D000068698	Anti-HIV Agents	D019380
Glatiramer Acetate	D000068717	Adjuvants, Immunologic	D000276
Glatiramer Acetate	D000068717	Immunosuppressive Agents	D007166
Glatiramer Acetate	D000068717	Antirheumatic Agents	D018501
Rosuvastatin Calcium	D000068718	Anticholesteremic Agents	D000924
Rosuvastatin Calcium	D000068718	Hydroxymethylglutaryl-CoA Reductase Inhibitors	D019161
Duloxetine Hydrochloride	D000068736	Serotonin and Noradrenaline Reuptake Inhibitors	D000068760
Duloxetine Hydrochloride	D000068736	Analgesics	D000700
Duloxetine Hydrochloride	D000068736	Antidepressive Agents	D000928
Duloxetine Hydrochloride	D000068736	Dopamine Agents	D015259
Tolterodine Tartrate	D000068737	Muscarinic Antagonists	D018727
Tolterodine Tartrate	D000068737	Urological Agents	D064804
Valsartan	D000068756	Antihypertensive Agents	D000959
Valsartan	D000068756	Angiotensin II Type 1 Receptor Blockers	D047228
Mometasone Furoate, Formoterol Fumarate Drug Combination	D000068758	Bronchodilator Agents	D001993
Formoterol Fumarate	D000068759	Bronchodilator Agents	D001993
Formoterol Fumarate	D000068759	Adrenergic beta-2 Receptor Agonists	D058666
Prasugrel Hydrochloride	D000068799	Platelet Aggregation Inhibitors	D010975
Etanercept	D000068800	Anti-Inflammatory Agents, Non-Steroidal	D000894
Etanercept	D000068800	Gastrointestinal Agents	D005765
Etanercept	D000068800	Immunosuppressive Agents	D007166
Etanercept	D000068800	Antirheumatic Agents	D018501
Adapalene, Benzoyl Peroxide Drug Combination	D000068801	Anti-Inflammatory Agents, Non-Steroidal	D000894
Adapalene, Benzoyl Peroxide Drug Combination	D000068801	Dermatologic Agents	D003879
Adapalene	D000068816	Anti-Inflammatory Agents, Non-Steroidal	D000894
Adapalene	D000068816	Dermatologic Agents	D003879
Epoetin Alfa	D000068817	Hematinics	D006397
Cetuximab	D000068818	Antineoplastic Agents, Immunological	D000074322
Rivastigmine	D000068836	Cholinesterase Inhibitors	D002800
Rivastigmine	D000068836	Neuroprotective Agents	D018696
Amlodipine, Valsartan Drug Combination	D000068838	Antihypertensive Agents	D000959
Fingolimod Hydrochloride	D000068876	Immunosuppressive Agents	D007166
Imatinib Mesylate	D000068877	Antineoplastic Agents	D000970
Imatinib Mesylate	D000068877	Protein Kinase Inhibitors	D047428
Trastuzumab	D000068878	Antineoplastic Agents, Immunological	D000074322
Adalimumab	D000068879	Anti-Inflammatory Agents	D000893
Adalimumab	D000068879	Antirheumatic Agents	D018501
Isophane Insulin, Human	D000068880	Hypoglycemic Agents	D007004
Paliperidone Palmitate	D000068882	Antipsychotic Agents	D014150
Paliperidone Palmitate	D000068882	Serotonin 5-HT2 Receptor Antagonists	D058830
Paliperidone Palmitate	D000068882	Dopamine D2 Receptor Antagonists	D065127
Canagliflozin	D000068896	Hypoglycemic Agents	D007004
Raltegravir Potassium	D000068898	Anti-HIV Agents	D019380
Raltegravir Potassium	D000068898	HIV Integrase Inhibitors	D019428
Sitagliptin Phosphate	D000068900	Hypoglycemic Agents	D007004
Sitagliptin Phosphate	D000068900	Incretins	D054795
Sitagliptin Phosphate	D000068900	Dipeptidyl-Peptidase IV Inhibitors	D054873
Cosmeceuticals	D000068937	Cosmetics	D003358
Insulin Glargine	D000069036	Hypoglycemic Agents	D007004
Lurasidone Hydrochloride	D000069056	Antipsychotic Agents	D014150
Lurasidone Hydrochloride	D000069056	Adrenergic alpha-2 Receptor Antagonists	D058669
Lurasidone Hydrochloride	D000069056	Serotonin 5-HT2 Receptor Antagonists	D058830
Lurasidone Hydrochloride	D000069056	Dopamine D2 Receptor Antagonists	D065127
Insulin Detemir	D000069057	Hypoglycemic Agents	D007004
Vardenafil Dihydrochloride	D000069058	Vasodilator Agents	D014665
Vardenafil Dihydrochloride	D000069058	Phosphodiesterase 5 Inhibitors	D058986
Vardenafil Dihydrochloride	D000069058	Urological Agents	D064804
Atorvastatin Calcium	D000069059	Anticholesteremic Agents	D000924
Atorvastatin Calcium	D000069059	Hydroxymethylglutaryl-CoA Reductase Inhibitors	D019161
Rituximab	D000069283	Antineoplastic Agents, Immunological	D000074322
Rituximab	D000069283	Immunologic Factors	D007155
Rituximab	D000069283	Antirheumatic Agents	D018501
Infliximab	D000069285	Dermatologic Agents	D003879
Infliximab	D000069285	Gastrointestinal Agents	D005765
Infliximab	D000069285	Antirheumatic Agents	D018501
Bortezomib	D000069286	Antineoplastic Agents	D000970
Capecitabine	D000069287	Antimetabolites, Antineoplastic	D000964
Erlotinib Hydrochloride	D000069347	Antineoplastic Agents	D000970
Erlotinib Hydrochloride	D000069347	Protein Kinase Inhibitors	D047428
Quetiapine Fumarate	D000069348	Antipsychotic Agents	D014150
Linezolid	D000069349	Anti-Bacterial Agents	D000900
Linezolid	D000069349	Protein Synthesis Inhibitors	D011500
Ezetimibe	D000069438	Anticholesteremic Agents	D000924
Dasatinib	D000069439	Antineoplastic Agents	D000970
Dasatinib	D000069439	Protein Kinase Inhibitors	D047428
Natalizumab	D000069442	Immunologic Factors	D007155
Heptavalent Pneumococcal Conjugate Vaccine	D000069443	Immunologic Factors	D007155
Omalizumab	D000069444	Anti-Allergic Agents	D018926
Omalizumab	D000069444	Anti-Asthmatic Agents	D018927
Atomoxetine Hydrochloride	D000069445	Adrenergic Uptake Inhibitors	D018759
Atazanavir Sulfate	D000069446	HIV Protease Inhibitors	D017320
Tiotropium Bromide	D000069447	Bronchodilator Agents	D001993
Tiotropium Bromide	D000069447	Parasympatholytics	D010276
Tiotropium Bromide	D000069447	Cholinergic Antagonists	D018680
Denosumab	D000069448	Bone Density Conservation Agents	D050071
Cinacalcet Hydrochloride	D000069449	Calcimimetic Agents	D057966
Liraglutide	D000069450	Hypoglycemic Agents	D007004
Liraglutide	D000069450	Incretins	D054795
Darunavir	D000069454	HIV Protease Inhibitors	D017320
Palivizumab	D000069455	Antiviral Agents	D000998
Ranolazine	D000069458	Cardiovascular Agents	D002317
Ranolazine	D000069458	Sodium Channel Blockers	D026941
Bendamustine Hydrochloride	D000069461	Antineoplastic Agents, Alkylating	D018906
Dimethyl Fumarate	D000069462	Dermatologic Agents	D003879
Dimethyl Fumarate	D000069462	Immunosuppressive Agents	D007166
Dimethyl Fumarate	D000069462	Radiation-Sensitizing Agents	D011838
Solifenacin Succinate	D000069464	Muscarinic Antagonists	D018727
Solifenacin Succinate	D000069464	Urological Agents	D064804
Febuxostat	D000069465	Gout Suppressants	D006074
Desvenlafaxine Succinate	D000069468	Serotonin and Noradrenaline Reuptake Inhibitors	D000068760
Desvenlafaxine Succinate	D000069468	Antidepressive Agents	D000928
Venlafaxine Hydrochloride	D000069470	Serotonin and Noradrenaline Reuptake Inhibitors	D000068760
Venlafaxine Hydrochloride	D000069470	Antidepressive Agents, Second-Generation	D018687
Colesevelam Hydrochloride	D000069472	Anticholesteremic Agents	D000924
Sofosbuvir	D000069474	Antiviral Agents	D000998
Linagliptin	D000069476	Hypoglycemic Agents	D007004
Linagliptin	D000069476	Incretins	D054795
Linagliptin	D000069476	Dipeptidyl-Peptidase IV Inhibitors	D054873
Lisdexamfetamine Dimesylate	D000069478	Central Nervous System Stimulants	D000697
Lisdexamfetamine Dimesylate	D000069478	Dopamine Uptake Inhibitors	D018765
Buprenorphine, Naloxone Drug Combination	D000069479	Analgesics, Opioid	D000701
Buprenorphine, Naloxone Drug Combination	D000069479	Narcotic Antagonists	D009292
Emtricitabine, Tenofovir Disoproxil Fumarate Drug Combination	D000069480	Reverse Transcriptase Inhibitors	D018894
Emtricitabine, Tenofovir Disoproxil Fumarate Drug Combination	D000069480	Anti-HIV Agents	D019380
Ezetimibe, Simvastatin Drug Combination	D000069499	Anticholesteremic Agents	D000924
Abiraterone Acetate	D000069501	Antineoplastic Agents	D000970
Abiraterone Acetate	D000069501	Steroid Synthesis Inhibitors	D065088
Abiraterone Acetate	D000069501	Cytochrome P-450 Enzyme Inhibitors	D065607
Budesonide, Formoterol Fumarate Drug Combination	D000069502	Anti-Asthmatic Agents	D018927
Vilazodone Hydrochloride	D000069503	Antidepressive Agents	D000928
Vilazodone Hydrochloride	D000069503	Serotonin Uptake Inhibitors	D017367
Vilazodone Hydrochloride	D000069503	Serotonin 5-HT1 Receptor Agonists	D058825
Elvitegravir, Cobicistat, Emtricitabine, Tenofovir Disoproxil Fumarate Drug Combination	D000069545	Anti-HIV Agents	D019380
Cobicistat	D000069547	Anti-HIV Agents	D019380
Cobicistat	D000069547	Cytochrome P-450 CYP3A Inhibitors	D065692
Ustekinumab	D000069549	Dermatologic Agents	D003879
Rivaroxaban	D000069552	Factor Xa Inhibitors	D065427
Travoprost	D000069557	Antihypertensive Agents	D000959
Loteprednol Etabonate	D000069559	Anti-Allergic Agents	D018926
Ranibizumab	D000069579	Angiogenesis Inhibitors	D020533
Bimatoprost	D000069580	Antihypertensive Agents	D000959
Eszopiclone	D000069582	Hypnotics and Sedatives	D006993
Pregabalin	D000069583	Analgesics	D000700
Pregabalin	D000069583	Anticonvulsants	D000927
Pregabalin	D000069583	Calcium Channel Blockers	D002121
Pregabalin	D000069583	Anti-Anxiety Agents	D014151
Filgrastim	D000069585	Hematologic Agents	D006401
Abatacept	D000069594	Immunosuppressive Agents	D007166
Abatacept	D000069594	Antirheumatic Agents	D018501
Sevelamer	D000069603	Chelating Agents	D002614
Dabigatran	D000069604	Antithrombins	D000991
Olopatadine Hydrochloride	D000069605	Anti-Inflammatory Agents, Non-Steroidal	D000894
Olopatadine Hydrochloride	D000069605	Anti-Allergic Agents	D018926
Olopatadine Hydrochloride	D000069605	Histamine H1 Antagonists, Non-Sedating	D039563
Simeprevir	D000069616	Antiviral Agents	D000998
Simeprevir	D000069616	Protease Inhibitors	D011480
Acebutolol	D000070	Anti-Arrhythmia Agents	D000889
Acebutolol	D000070	Antihypertensive Agents	D000959
Acebutolol	D000070	Sympathomimetics	D013566
Acebutolol	D000070	Adrenergic beta-1 Receptor Antagonists	D058671
Acedapsone	D000072	Anti-Infective Agents	D000890
Acedapsone	D000072	Antimalarials	D000962
Acedapsone	D000072	Leprostatic Agents	D007917
Polychlorinated Dibenzodioxins	D000072317	Environmental Pollutants	D004785
Polychlorinated Dibenzodioxins	D000072317	Teratogens	D013723
Beta-Cryptoxanthin	D000072743	Provitamins	D000072664
2-Hydroxypropyl-beta-cyclodextrin	D000073738	Excipients	D005079
Strobilurins	D000073739	Fungicides, Industrial	D005659
Sugars	D000073893	Sweetening Agents	D013549
Neonicotinoids	D000073943	Insecticides	D007306
Acenocoumarol	D000074	Anticoagulants	D000925
Alemtuzumab	D000074323	Antineoplastic Agents, Immunological	D000074322
Ipilimumab	D000074324	Antineoplastic Agents, Immunological	D000074322
Acepromazine	D000075	Antipsychotic Agents	D014150
Acepromazine	D000075	Dopamine Antagonists	D018492
Agent Orange	D000075182	Defoliants, Chemical	D003678
Baculoviral IAP Repeat-Containing 3 Protein	D000075747	Caspase Inhibitors	D061945
Acetaminophen	D000082	Analgesics, Non-Narcotic	D018712
Acetaminophen	D000082	Antipyretics	D058633
Acetazolamide	D000086	Anticonvulsants	D000927
Acetazolamide	D000086	Carbonic Anhydrase Inhibitors	D002257
Acetazolamide	D000086	Diuretics	D004232
Acetohexamide	D000092	Hypoglycemic Agents	D007004
Acetone	D000096	Solvents	D012997
Acetoxyacetylaminofluorene	D000099	Alkylating Agents	D000477
Acetrizoic Acid	D000100	Contrast Media	D003287
Acetylcarnitine	D000108	Vitamin B Complex	D014803
Acetylcarnitine	D000108	Nootropic Agents	D018697
Acetylcholine	D000109	Vasodilator Agents	D014665
Acetylcholine	D000109	Cholinergic Agonists	D018679
Acetylcysteine	D000111	Antiviral Agents	D000998
Acetylcysteine	D000111	Expectorants	D005100
Acetylcysteine	D000111	Free Radical Scavengers	D016166
Acetyldigitoxins	D000112	Anti-Arrhythmia Agents	D000889
Acetyldigitoxins	D000112	Cardiotonic Agents	D002316
Acetyldigitoxins	D000112	Enzyme Inhibitors	D004791
Acetyldigoxins	D000113	Anti-Arrhythmia Agents	D000889
Acetyldigoxins	D000113	Cardiotonic Agents	D002316
Acetyldigoxins	D000113	Enzyme Inhibitors	D004791
Acetylmuramyl-Alanyl-Isoglutamine	D000119	Adjuvants, Immunologic	D000276
Acecainide	D000120	Anti-Arrhythmia Agents	D000889
Aconitine	D000157	Adjuvants, Immunologic	D000276
Aconitine	D000157	Voltage-Gated Sodium Channel Agonists	D061585
Acridine Orange	D000165	Fluorescent Dyes	D005456
Acridine Orange	D000165	Mutagens	D009153
Acriflavine	D000167	Anti-Infective Agents, Local	D000891
Acriflavine	D000167	Fluorescent Dyes	D005456
Acriflavine	D000167	Intercalating Agents	D007364
Acronine	D000175	Antineoplastic Agents, Phytogenic	D000972
Acrylonitrile	D000181	Carcinogens	D002273
Spectinomycin	D000198	Anti-Bacterial Agents	D000900
Acyclovir	D000212	Antiviral Agents	D000998
Adenosine	D000241	Analgesics	D000700
Adenosine	D000241	Anti-Arrhythmia Agents	D000889
Adenosine	D000241	Vasodilator Agents	D014665
Adenosine	D000241	Purinergic P1 Receptor Agonists	D058906
Adrenocorticotropic Hormone	D000324	Hormones	D006728
Aequorin	D000331	Luminescent Agents	D049408
beta-Aminoethyl Isothiourea	D000338	Radiation-Protective Agents	D011837
Aflatoxins	D000348	Poisons	D011042
Agar	D000362	Culture Media	D003470
Ajmaline	D000404	Anti-Arrhythmia Agents	D000889
Ajmaline	D000404	Voltage-Gated Sodium Channel Blockers	D061567
Alamethicin	D000408	Anti-Bacterial Agents	D000900
Alamethicin	D000408	Ionophores	D007476
Alamethicin	D000408	Uncoupling Agents	D014475
Albuterol	D000420	Bronchodilator Agents	D001993
Albuterol	D000420	Tocolytic Agents	D015149
Albuterol	D000420	Adrenergic beta-2 Receptor Agonists	D058666
Alcian Blue	D000423	Coloring Agents	D004396
Ethanol	D000431	Anti-Infective Agents, Local	D000891
Ethanol	D000431	Central Nervous System Depressants	D002492
Ethanol	D000431	Solvents	D012997
Methanol	D000432	Solvents	D012997
Alcuronium	D000443	Adjuvants, Anesthesia	D000759
Alcuronium	D000443	Neuromuscular Nondepolarizing Agents	D003473
Alcuronium	D000443	Nicotinic Antagonists	D018733
Aldicarb	D000448	Cholinesterase Inhibitors	D002800
Aldicarb	D000448	Insecticides	D007306
Aldrin	D000452	Insecticides	D007306
Algestone Acetophenide	D000463	Anti-Inflammatory Agents	D000893
Algestone Acetophenide	D000463	Contraceptives, Oral, Synthetic	D003280
Algestone Acetophenide	D000463	Progestins	D011372
Allantoin	D000481	Dermatologic Agents	D003879
Allethrin	D000487	Insecticides	D007306
Allopurinol	D000493	Antimetabolites	D000963
Allopurinol	D000493	Enzyme Inhibitors	D004791
Allopurinol	D000493	Gout Suppressants	D006074
Allopurinol	D000493	Free Radical Scavengers	D016166
Allylestrenol	D000500	Progestins	D011372
Allylglycine	D000501	Convulsants	D003292
Allylglycine	D000501	GABA Antagonists	D018756
alpha 1-Antichymotrypsin	D000514	Serine Proteinase Inhibitors	D015842
alpha 1-Antitrypsin	D000515	Trypsin Inhibitors	D014361
alpha 1-Antitrypsin	D000515	Serine Proteinase Inhibitors	D015842
alpha-Chlorohydrin	D000517	Chemosterilants	D002629
Eflornithine	D000518	Antineoplastic Agents	D000970
Eflornithine	D000518	Trypanocidal Agents	D014344
Eflornithine	D000518	Ornithine Decarboxylase Inhibitors	D065108
alpha-MSH	D000521	Hormones	D006728
Alphaprodine	D000522	Analgesics, Opioid	D000701
Alphaprodine	D000522	Narcotics	D009294
Algestone	D000523	Contraceptives, Oral, Synthetic	D003280
Algestone	D000523	Progestins	D011372
Alprazolam	D000525	Hypnotics and Sedatives	D006993
Alprazolam	D000525	Anti-Anxiety Agents	D014151
Alprazolam	D000525	GABA Modulators	D018757
Alprenolol	D000526	Adrenergic beta-Antagonists	D000319
Alprenolol	D000526	Anti-Arrhythmia Agents	D000889
Alprenolol	D000526	Antihypertensive Agents	D000959
Alprenolol	D000526	Sympatholytics	D013565
Alprostadil	D000527	Platelet Aggregation Inhibitors	D010975
Alprostadil	D000527	Vasodilator Agents	D014665
Alprostadil	D000527	Urological Agents	D064804
Aluminum Hydroxide	D000536	Adjuvants, Immunologic	D000276
Aluminum Hydroxide	D000536	Antacids	D000863
Amanitins	D000546	Enzyme Inhibitors	D004791
Amanitins	D000546	Poisons	D011042
Amanitins	D000546	Nucleic Acid Synthesis Inhibitors	D019384
Amantadine	D000547	Antiparkinson Agents	D000978
Amantadine	D000547	Antiviral Agents	D000998
Amantadine	D000547	Dopamine Agents	D015259
Amantadine	D000547	Analgesics, Non-Narcotic	D018712
Amaranth Dye	D000548	Coloring Agents	D004396
Amaranth Dye	D000548	Indicators and Reagents	D007202
Ambenonium Chloride	D000549	Cholinesterase Inhibitors	D002800
Ambenonium Chloride	D000549	Parasympathomimetics	D010277
Ambroxol	D000551	Expectorants	D005100
Amdinocillin	D000560	Anti-Infective Agents, Urinary	D000892
Amdinocillin	D000560	Anti-Bacterial Agents	D000900
Amdinocillin Pivoxil	D000561	Anti-Infective Agents, Urinary	D000892
Amdinocillin Pivoxil	D000561	Anti-Bacterial Agents	D000900
Amido Black	D000580	Coloring Agents	D004396
Amikacin	D000583	Anti-Bacterial Agents	D000900
Amiloride	D000584	Diuretics	D004232
Amiloride	D000584	Acid Sensing Ion Channel Blockers	D062646
Amiloride	D000584	Epithelial Sodium Channel Blockers	D062686
Aminacrine	D000585	Anti-Infective Agents, Local	D000891
Aminacrine	D000585	Fluorescent Dyes	D005456
Aminacrine	D000585	Indicators and Reagents	D007202
Aminacrine	D000585	Mutagens	D009153
Amino Acid Chloromethyl Ketones	D000590	Alkylating Agents	D000477
Amino Acid Chloromethyl Ketones	D000590	Protein Synthesis Inhibitors	D011500
Amino Acid Chloromethyl Ketones	D000590	Serine Proteinase Inhibitors	D015842
Aminoglutethimide	D000616	Antineoplastic Agents, Hormonal	D018931
Aminoglutethimide	D000616	Aromatase Inhibitors	D047072
Aminolevulinic Acid	D000622	Photosensitizing Agents	D017319
Aminooxyacetic Acid	D000625	Enzyme Inhibitors	D004791
Aminooxyacetic Acid	D000625	GABA Agents	D018682
Aminophylline	D000628	Bronchodilator Agents	D001993
Aminophylline	D000628	Cardiotonic Agents	D002316
Aminophylline	D000628	Phosphodiesterase Inhibitors	D010726
Aminophylline	D000628	Purinergic P1 Receptor Antagonists	D058915
Aminopterin	D000630	Folic Acid Antagonists	D005493
Amiodarone	D000638	Anti-Arrhythmia Agents	D000889
Amiodarone	D000638	Vasodilator Agents	D014665
Amiodarone	D000638	Potassium Channel Blockers	D026902
Amiodarone	D000638	Sodium Channel Blockers	D026941
Amiodarone	D000638	Cytochrome P-450 CYP1A2 Inhibitors	D065609
Amiodarone	D000638	Cytochrome P-450 CYP2C9 Inhibitors	D065688
Amiodarone	D000638	Cytochrome P-450 CYP2D6 Inhibitors	D065690
Amiodarone	D000638	Cytochrome P-450 CYP3A Inhibitors	D065692
Amitriptyline	D000639	Antidepressive Agents, Tricyclic	D000929
Amitriptyline	D000639	Analgesics, Non-Narcotic	D018712
Amitriptyline	D000639	Adrenergic Uptake Inhibitors	D018759
Amitrole	D000640	Enzyme Inhibitors	D004791
Amobarbital	D000654	Hypnotics and Sedatives	D006993
Amobarbital	D000654	GABA Modulators	D018757
Amodiaquine	D000655	Antimalarials	D000962
Amoxapine	D000657	Neurotransmitter Uptake Inhibitors	D014179
Amoxapine	D000657	Serotonin Uptake Inhibitors	D017367
Amoxapine	D000657	Dopamine Antagonists	D018492
Amoxapine	D000657	Antidepressive Agents, Second-Generation	D018687
Amoxapine	D000657	Adrenergic Uptake Inhibitors	D018759
Amoxicillin	D000658	Anti-Bacterial Agents	D000900
Amphetamine	D000661	Central Nervous System Stimulants	D000697
Amphetamine	D000661	Sympathomimetics	D013566
Amphetamine	D000661	Dopamine Agents	D015259
Amphetamine	D000661	Adrenergic Agents	D018663
Amphetamine	D000661	Adrenergic Uptake Inhibitors	D018759
Amphetamine	D000661	Dopamine Uptake Inhibitors	D018765
Amphotericin B	D000666	Amebicides	D000563
Amphotericin B	D000666	Anti-Bacterial Agents	D000900
Amphotericin B	D000666	Antifungal Agents	D000935
Amphotericin B	D000666	Antiprotozoal Agents	D000981
Ampicillin	D000667	Anti-Bacterial Agents	D000900
Amprolium	D000670	Coccidiostats	D003049
Ampyrone	D000675	Anti-Inflammatory Agents, Non-Steroidal	D000894
Ampyrone	D000675	Indicators and Reagents	D007202
Amrinone	D000676	Calcium Channel Blockers	D002121
Amrinone	D000676	Cardiotonic Agents	D002316
Amrinone	D000676	Vasodilator Agents	D014665
Amrinone	D000676	Phosphodiesterase 3 Inhibitors	D058987
Amsacrine	D000677	Antineoplastic Agents	D000970
Amsacrine	D000677	Intercalating Agents	D007364
Amygdalin	D000678	Antineoplastic Agents, Phytogenic	D000972
Amyl Nitrite	D000680	Vasodilator Agents	D014665
Anabasine	D000691	Insecticides	D007306
Anaphylatoxins	D000706	Immunologic Factors	D007155
Ancrod	D000721	Anticoagulants	D000925
Ancrod	D000721	Fibrinolytic Agents	D005343
Angiotensin Amide	D000802	Vasoconstrictor Agents	D014662
Angiotensin II	D000804	Vasoconstrictor Agents	D014662
Angiotensinogen	D000808	Serine Proteinase Inhibitors	D015842
Aniline Mustard	D000816	Antineoplastic Agents, Alkylating	D018906
Anisomycin	D000841	Anti-Bacterial Agents	D000900
Anisomycin	D000841	Antiprotozoal Agents	D000981
Anisomycin	D000841	Protein Synthesis Inhibitors	D011500
Anisomycin	D000841	Nucleic Acid Synthesis Inhibitors	D019384
Antazoline	D000865	Histamine H1 Antagonists	D006634
Antazoline	D000865	Anti-Allergic Agents	D018926
Anthralin	D000875	Dermatologic Agents	D003879
Anthramycin	D000876	Antibiotics, Antineoplastic	D000903
Antibodies, Anti-Idiotypic	D000888	Immunologic Factors	D007155
Aurodox	D000899	Anti-Bacterial Agents	D000900
Antibodies	D000906	Immunologic Factors	D007155
Antibodies, Bacterial	D000907	Immunologic Factors	D007155
Antibodies, Fungal	D000908	Immunologic Factors	D007155
Antibodies, Helminth	D000909	Immunologic Factors	D007155
Antibodies, Heterophile	D000910	Immunologic Factors	D007155
Antibodies, Monoclonal	D000911	Immunologic Factors	D007155
Antibodies, Neoplasm	D000912	Immunologic Factors	D007155
Antibodies, Protozoan	D000913	Immunologic Factors	D007155
Antibodies, Viral	D000914	Immunologic Factors	D007155
Immunotoxins	D000922	Immunologic Factors	D007155
Antigen-Antibody Complex	D000936	Immunologic Factors	D007155
Antilymphocyte Serum	D000961	Immunologic Factors	D007155
Antilymphocyte Serum	D000961	Immunosuppressive Agents	D007166
Antimony Potassium Tartrate	D000966	Schistosomicides	D012556
Antimony Sodium Gluconate	D000967	Antiprotozoal Agents	D000981
Antimony Sodium Gluconate	D000967	Schistosomicides	D012556
Antimycin A	D000968	Anti-Bacterial Agents	D000900
