pharmacological_action_name	pharmacological_action_ui	name	ui	entry_term_name	entry_term_ui
Abortifacient Agents, Nonsteroidal	D000020	Misoprostol	D016595	Novo Misoprostol	T614550
Abortifacient Agents, Nonsteroidal	D000020	Misoprostol	D016595	Glefos	T614548
Abortifacient Agents, Nonsteroidal	D000020	Misoprostol	D016595	SC 29333	T049701
Abortifacient Agents, Nonsteroidal	D000020	Misoprostol	D016595	SC29333	T049701
Abortifacient Agents, Nonsteroidal	D000020	Misoprostol	D016595	SC-30249	T049702
Abortifacient Agents, Nonsteroidal	D000020	Misoprostol	D016595	Misoprostol, (11beta,13E,16R)-Isomer	T359664
Abortifacient Agents, Nonsteroidal	D000020	Misoprostol	D016595	Apo Misoprostol	T614546
Abortifacient Agents, Nonsteroidal	D000020	Misoprostol	D016595	Apo-Misoprostol	T614546
Abortifacient Agents, Nonsteroidal	D000020	Misoprostol	D016595	SC30249	T049702
Abortifacient Agents, Nonsteroidal	D000020	Misoprostol	D016595	SC 30249	T049702
Abortifacient Agents, Nonsteroidal	D000020	Misoprostol	D016595	Novo-Misoprostol	T614550
Abortifacient Agents, Nonsteroidal	D000020	Dinoprost	D015237	9alpha,11beta PGF2	T044596
Abortifacient Agents, Nonsteroidal	D000020	Dinoprost	D015237	Estrofan	T044602
Abortifacient Agents, Nonsteroidal	D000020	Misoprostol	D016595	SC-29333	T049701
Abortifacient Agents, Nonsteroidal	D000020	Methotrexate	D008727	Methotrexate, (DL)-Isomer	T360332
Abortifacient Agents, Nonsteroidal	D000020	Methotrexate	D008727	Methotrexate, (D)-Isomer	T360331
Abortifacient Agents, Nonsteroidal	D000020	Methotrexate	D008727	Amethopterin	T025976
Abortifacient Agents, Nonsteroidal	D000020	Methotrexate	D008727	Methotrexate	T025977
Abortifacient Agents, Nonsteroidal	D000020	Dinoprost	D015237	F2 alpha, Prostaglandin	T044597
Abortifacient Agents, Nonsteroidal	D000020	Dinoprost	D015237	9alpha,11beta-PGF2	T044596
Abortifacient Agents, Steroidal	D000021	Mifepristone	D015735	Mifeprex	T614442
Abortifacient Agents, Steroidal	D000021	Mifepristone	D015735	Mifepristone	T046660
Abortifacient Agents, Steroidal	D000021	Mifepristone	D015735	ZK-98296	T046665
Abortifacient Agents, Steroidal	D000021	Mifepristone	D015735	ZK 98296	T046665
Abortifacient Agents, Steroidal	D000021	Mifepristone	D015735	ZK98296	T046666
Abortifacient Agents, Steroidal	D000021	Mifepristone	D015735	Mifégyne	T614441
Abortifacient Agents, Steroidal	D000021	Mifepristone	D015735	R-38486	T046664
Abortifacient Agents, Steroidal	D000021	Mifepristone	D015735	R 38486	T046664
Abortifacient Agents, Steroidal	D000021	Mifepristone	D015735	RU38486	T046662
Abortifacient Agents, Steroidal	D000021	Mifepristone	D015735	RU 38486	T046662
Abortifacient Agents, Steroidal	D000021	Mifepristone	D015735	RU-38486	T046662
Abortifacient Agents, Steroidal	D000021	Mifepristone	D015735	Mifegyne	T614438
Abortifacient Agents, Steroidal	D000021	Mifepristone	D015735	R38486	T046661
Abortifacient Agents, Steroidal	D000021	Mifepristone	D015735	RU486	T046663
Abortifacient Agents, Steroidal	D000021	Mifepristone	D015735	RU 486	T046663
Abortifacient Agents, Steroidal	D000021	Mifepristone	D015735	RU-486	T046663
Acaricides	D056810	Chlorfenvinphos	D002709	Clofenvinfos	T007854
Acaricides	D056810	Chlorfenvinphos	D002709	Chlorphenvinphos	T007853
Acaricides	D056810	Azinphosmethyl	D001387	Azinphosmethyl	T004056
Acaricides	D056810	Chlorfenvinphos	D002709	Birlane	T007850
Acaricides	D056810	Naled	D009267	Dibrom	T027658
Acaricides	D056810	Azinphosmethyl	D001387	Guthion	T004057
Acaricides	D056810	Azinphosmethyl	D001387	Azinphos Methyl	T004058
Acaricides	D056810	Chlorfenvinphos	D002709	Chlorfenvinphos	T007851
Acaricides	D056810	Chlorfenvinphos	D002709	Dermaton	T007852
Acaricides	D056810	Naled	D009267	Naled	T027659
Acaricides	D056810	Azinphosmethyl	D001387	Azinphos-Methyl	T004058
Acetaldehyde Dehydrogenase Inhibitors	D065086	Disulfiram	D004221	Anticol	T012820
Acetaldehyde Dehydrogenase Inhibitors	D065086	Disulfiram	D004221	Alcophobin	T012819
Acetaldehyde Dehydrogenase Inhibitors	D065086	Disulfiram	D004221	Esperal	T012822
Acetaldehyde Dehydrogenase Inhibitors	D065086	Disulfiram	D004221	Dicupral	T012821
Acetaldehyde Dehydrogenase Inhibitors	D065086	Disulfiram	D004221	Teturam	T012823
Acetaldehyde Dehydrogenase Inhibitors	D065086	Disulfiram	D004221	Antabuse	T012818
Acetaldehyde Dehydrogenase Inhibitors	D065086	Disulfiram	D004221	Antabus	T612909
Acetaldehyde Dehydrogenase Inhibitors	D065086	Disulfiram	D004221	Disulfide, Tetraethylthiuram	T012815
Acetaldehyde Dehydrogenase Inhibitors	D065086	Disulfiram	D004221	Tetraethylthiuram Disulfide	T012815
Acetaldehyde Dehydrogenase Inhibitors	D065086	Disulfiram	D004221	Tetraethylthioperoxydicarbonic Diamide, ((H2N)C(S))2S2	T012817
Acetaldehyde Dehydrogenase Inhibitors	D065086	Disulfiram	D004221	Bis(diethylthiocarbamoyl) Disulfide	T012816
Acetaldehyde Dehydrogenase Inhibitors	D065086	Disulfiram	D004221	Disulfiram	T012814
Acetylcholine Release Inhibitors	D065087	Botulinum Toxins	D001905	Toxin, Botulinum	T005420
Acetylcholine Release Inhibitors	D065087	Botulinum Toxins	D001905	Botulinum Toxin	T005420
Acetylcholine Release Inhibitors	D065087	Botulinum Toxins	D001905	Toxins, Botulinum	T005421
Acetylcholine Release Inhibitors	D065087	Botulinum Toxins, Type A	D019274	Clostridium Botulinum Toxin Type A	T493505
Acetylcholine Release Inhibitors	D065087	Botulinum Toxins, Type A	D019274	Clostridium botulinum A Toxin	T057427
Acetylcholine Release Inhibitors	D065087	Botulinum Toxins, Type A	D019274	Neurotoxin A, Botulinum	T057423
Acetylcholine Release Inhibitors	D065087	Botulinum Toxins, Type A	D019274	Botulinum Neurotoxin A	T057423
Acetylcholine Release Inhibitors	D065087	Botulinum Toxins, Type A	D019274	Botulinum Toxins, Type A	T761660
Acetylcholine Release Inhibitors	D065087	Botulinum Toxins	D001905	Botulinum Toxins	T005421
Acetylcholine Release Inhibitors	D065087	Botulinum Toxins	D001905	Clostridium botulinum Toxins	T005422
Acetylcholine Release Inhibitors	D065087	Botulinum Toxins, Type A	D019274	Botulinum Toxin Type A	T057425
Acetylcholine Release Inhibitors	D065087	Botulinum Toxins	D001905	Botulin	T005419
Acetylcholine Release Inhibitors	D065087	Botulinum Toxins, Type A	D019274	Meditoxin	T762529
Acetylcholine Release Inhibitors	D065087	Botulinum Toxins	D001905	Toxins, Clostridium botulinum	T005422
Acetylcholine Release Inhibitors	D065087	Botulinum Toxins, Type A	D019274	Botulinum A Toxin	T057424
Acetylcholine Release Inhibitors	D065087	Botulinum Toxins, Type A	D019274	Toxin, Botulinum A	T057424
Acetylcholine Release Inhibitors	D065087	Botulinum Toxins, Type A	D019274	Neuronox	T787618
Acetylcholine Release Inhibitors	D065087	Botulinum Toxins, Type A	D019274	Oculinum	T057426
Acid Sensing Ion Channel Blockers	D062646	Amiloride	D000584	Trom, Amiduret	T506667
Acid Sensing Ion Channel Blockers	D062646	Amiloride	D000584	Amiloberag	T506669
Acid Sensing Ion Channel Blockers	D062646	Amiloride	D000584	Midoride	T506673
Acid Sensing Ion Channel Blockers	D062646	Amiloride	D000584	Kaluril	T506671
Acid Sensing Ion Channel Blockers	D062646	Amiloride	D000584	Amiloride Hydrochloride	T001777
Acid Sensing Ion Channel Blockers	D062646	Amiloride	D000584	Anhydrous Amiloride Hydrochloride	T360951
Acid Sensing Ion Channel Blockers	D062646	Amiloride	D000584	Amiduret Trom	T506667
Acid Sensing Ion Channel Blockers	D062646	Amiloride	D000584	Hydrochloride, Anhydrous Amiloride	T360951
Acid Sensing Ion Channel Blockers	D062646	Amiloride	D000584	Amiloride Hydrochloride, Anhydrous	T360951
Acid Sensing Ion Channel Blockers	D062646	Amiloride	D000584	Amiloride	T001775
Acid Sensing Ion Channel Blockers	D062646	Amiloride	D000584	Hydrochloride, Amiloride	T001777
Acid Sensing Ion Channel Blockers	D062646	Amiloride	D000584	Modamide	T506664
Acid Sensing Ion Channel Blockers	D062646	Amiloride	D000584	Midamor	T001776
Acid Sensing Ion Channel Blockers	D062646	Amiloride	D000584	Amidal	T506665
Adenosine Deaminase Inhibitors	D058892	Pentostatin	D015649	CI825	T046288
Adenosine Deaminase Inhibitors	D058892	Pentostatin	D015649	NSC-218321	T046290
Adenosine Deaminase Inhibitors	D058892	Pentostatin	D015649	Nipent	T614059
Adenosine Deaminase Inhibitors	D058892	Pentostatin	D015649	2' Deoxycoformycin	T046287
Adenosine Deaminase Inhibitors	D058892	Pentostatin	D015649	2'-Deoxycoformycin	T046287
Adenosine Deaminase Inhibitors	D058892	Pentostatin	D015649	Pentostatin	T046291
Adenosine Deaminase Inhibitors	D058892	Pentostatin	D015649	Deoxycoformycin	T046289
Adenosine Deaminase Inhibitors	D058892	Pentostatin	D015649	CI-825	T046288
Adenosine Deaminase Inhibitors	D058892	Pentostatin	D015649	NSC218321	T046290
Adenosine Deaminase Inhibitors	D058892	Pentostatin	D015649	NSC 218321	T046290
Adenosine Deaminase Inhibitors	D058892	Pentostatin	D015649	Co-Vidarabine	T770716
Adenosine Deaminase Inhibitors	D058892	Pentostatin	D015649	CI 825	T046288
Adjuvants, Anesthesia	D000759	Sufentanil	D017409	Sufentanil Ratiopharm	T000912677
Adjuvants, Anesthesia	D000759	Fentanyl	D005283	Transmucosal Oral Fentanyl Citrate	T850539
Adjuvants, Anesthesia	D000759	Oxymorphone	D010111	Oxymorphone	T029908
Adjuvants, Anesthesia	D000759	Fentanyl	D005283	Sublimaze	T016152
Adjuvants, Anesthesia	D000759	Fentanyl	D005283	R4263	T016154
Adjuvants, Anesthesia	D000759	Fentanyl	D005283	R 4263	T016154
Adjuvants, Anesthesia	D000759	Fentanyl	D005283	R-4263	T016154
Adjuvants, Anesthesia	D000759	Fentanyl	D005283	Fentanyl Citrate	T016157
Adjuvants, Anesthesia	D000759	Fentanyl	D005283	Fentanest	T016156
Adjuvants, Anesthesia	D000759	Fentanyl	D005283	Phentanyl	T016155
Adjuvants, Anesthesia	D000759	Fentanyl	D005283	Fentanyl	T016153
Adjuvants, Anesthesia	D000759	Sufentanil	D017409	Sufentanil	T052056
Adjuvants, Anesthesia	D000759	Sufentanil	D017409	Sulfentanyl	T052058
Adjuvants, Anesthesia	D000759	Sufentanil	D017409	Sulfentanil	T052057
Adjuvants, Anesthesia	D000759	Sufentanil	D017409	Sufentanil-Ratiopharm	T000912677
Adjuvants, Anesthesia	D000759	Sufentanil	D017409	Sufenta	T052059
Adjuvants, Anesthesia	D000759	Fentanyl	D005283	Durogesic	T707859
Adjuvants, Anesthesia	D000759	Fentanyl	D005283	Fentora	T682110
Adjuvants, Anesthesia	D000759	Sodium Oxybate	D012978	Xyrem	T618136
Adjuvants, Anesthesia	D000759	Sodium Oxybate	D012978	Somsanit	T618134
Adjuvants, Anesthesia	D000759	Sodium Oxybate	D012978	gamma Hydroxybutyrate	T038247
Adjuvants, Anesthesia	D000759	Sodium Oxybate	D012978	gamma-Hydroxybutyrate	T038247
Adjuvants, Anesthesia	D000759	Fentanyl	D005283	Duragesic	T732855
Adjuvants, Anesthesia	D000759	Sodium Oxybate	D012978	4 Hydroxybutyrate Sodium	T038248
Adjuvants, Anesthesia	D000759	Sodium Oxybate	D012978	4-Hydroxybutyrate Sodium	T038248
Adjuvants, Anesthesia	D000759	Sodium Oxybate	D012978	Sodium gamma Hydroxybutyrate	T038249
Adjuvants, Anesthesia	D000759	Sodium Oxybate	D012978	Sodium gamma-Hydroxybutyrate	T038249
Adjuvants, Anesthesia	D000759	Oxymorphone	D010111	Oxymorphone Hydrochloride	T029910
Adjuvants, Anesthesia	D000759	Sodium Oxybate	D012978	Oxybate Sodium	T038250
Adjuvants, Anesthesia	D000759	Sufentanil	D017409	Sufentanil Curasan	T000912675
Adjuvants, Anesthesia	D000759	Alcuronium	D000443	Dichloride, N,N'-Diallylnortoxiferinium	T001337
Adjuvants, Anesthesia	D000759	Alcuronium	D000443	Diallylnortoxiferine	T001335
Adjuvants, Anesthesia	D000759	Alcuronium	D000443	Alcuronium	T001332
Adjuvants, Anesthesia	D000759	Sufentanil	D017409	SufentanilHameln	T000912676
Adjuvants, Anesthesia	D000759	Sufentanil	D017409	R-30730	T052055
Adjuvants, Anesthesia	D000759	Sufentanil	D017409	R 30730	T052055
Adjuvants, Anesthesia	D000759	Trimethaphan	D014294	Trimetaphan	T041847
Adjuvants, Anesthesia	D000759	Trimethaphan	D014294	Thimethaphan	T041849
Adjuvants, Anesthesia	D000759	Trimethaphan	D014294	Trimethaphan	T041848
Adjuvants, Anesthesia	D000759	Diazepam	D003975	Diazepam	T012064
Adjuvants, Anesthesia	D000759	Diazepam	D003975	7-Chloro-1,3-dihydro-1-methyl-5-phenyl-2H-1,4-benzodiazepin-2-one	T012065
Adjuvants, Anesthesia	D000759	Midazolam	D008874	Midazolam	T026539
Adjuvants, Anesthesia	D000759	Midazolam	D008874	Midazolam Maleate	T026543
Adjuvants, Anesthesia	D000759	Midazolam	D008874	Maleate, Midazolam	T026543
Adjuvants, Anesthesia	D000759	Midazolam	D008874	Dormicum	T026538
Adjuvants, Anesthesia	D000759	Midazolam	D008874	Versed	T026542
Adjuvants, Anesthesia	D000759	Midazolam	D008874	Midazolam Hydrochloride	T026541
Adjuvants, Anesthesia	D000759	Midazolam	D008874	Hydrochloride, Midazolam	T026541
Adjuvants, Anesthesia	D000759	Diazepam	D003975	Diazemuls	T012068
Adjuvants, Anesthesia	D000759	Diazepam	D003975	Faustan	T012071
Adjuvants, Anesthesia	D000759	Diazepam	D003975	Valium	T012067
Adjuvants, Anesthesia	D000759	Diazepam	D003975	Seduxen	T012073
Adjuvants, Anesthesia	D000759	Diazepam	D003975	Relanium	T012072
Adjuvants, Anesthesia	D000759	Diazepam	D003975	Apaurin	T012070
Adjuvants, Anesthesia	D000759	Diazepam	D003975	Stesolid	T012069
Adjuvants, Anesthesia	D000759	Diazepam	D003975	Sibazon	T012066
Adjuvants, Anesthesia	D000759	Triazolam	D014229	Gen Triazolam	T621597
Adjuvants, Anesthesia	D000759	Alcuronium	D000443	Alloferin	T001334
Adjuvants, Anesthesia	D000759	Triazolam	D014229	Gen-Triazolam	T621597
Adjuvants, Anesthesia	D000759	Triazolam	D014229	Apo-Triazo	T621595
Adjuvants, Anesthesia	D000759	Alcuronium	D000443	N,N'-Diallylnortoxiferinium Dichloride	T001337
Adjuvants, Anesthesia	D000759	Alcuronium	D000443	Dichloride, Alcuronium	T360935
Adjuvants, Anesthesia	D000759	Alcuronium	D000443	Alcuronium Dichloride	T360935
Adjuvants, Anesthesia	D000759	Sufentanil	D017409	SufentanilRatiopharm	T000912677
Adjuvants, Anesthesia	D000759	Sodium Oxybate	D012978	Oxybutyrate, Sodium	T038252
Adjuvants, Anesthesia	D000759	Sufentanil	D017409	Curasan, Sufentanil	T000912675
Adjuvants, Anesthesia	D000759	Sufentanil	D017409	Sufentanil-Hameln	T000912676
